customer_id,feedback,complaint_type,purchase_history,sentiment,sentiment_label,cluster
101,The product stopped working within a week,Product Defect,5,-0.2263,negative,0
102,The delivery was late by 3 days no update was given,Late Delivery,2,-0.296,negative,0
103,Customer support was unhelpful and rude,Customer Service,3,-0.0772,neutral,1
104,The app crashes frequently please fix it,Technical Issue,4,0.3182,positive,0
105,Received a wrong item unacceptable,Wrong Product,2,-0.7269,negative,2
106,The website is too slow and difficult to navigate,Website Issue,1,-0.3612,negative,0
107,I was charged twice for my order need a refund,Billing Issue,6,-0.2023,negative,0
108,The quality is not as advertised looks cheap,Quality Issue,3,0.0,neutral,0
109,Support team takes too long to respond,Customer Service,2,0.4019,positive,1
110,The payment process is confusing and not user friendly,Payment Issue,5,-0.5466,negative,0
